HYIP Name,Valid Address,Same Address,Registered with Companies House,Lifetime In Days,Censored
vevoledger.com,0,0,1,54,0
salcake-spirit.com,1,0,1,68,0
perspectplus.com,1,0,1,122,0
sigzoo.com,0,0,1,119,0
worintion.com,1,0,1,163,0
ecos-energy.net,1,0,1,91,0
naisos.io,1,0,1,59,0
bit-paradise.biz,1,0,1,49,0
bitbomb.biz,0,0,1,27,0
brokeron.biz,1,1,1,41,0
lintex.pro,1,0,1,2,0
bresco.ltd,1,0,1,3,0
bitmaxcrypto.com,1,0,1,1,0
trandex.biz,1,0,1,26,0
osenels.com,1,0,1,19,0
vaysor.com,1,1,1,301,0
forex-x.ltd,1,0,1,7,0
ambobit.com,0,0,1,0,0
gemnaria.cc,0,0,1,11,0
maxtradar.com,1,0,1,17,0
starloans.pro,1,1,1,11,0
diquo.biz,1,1,1,10,0
velzaa.com,1,0,1,7,0
rbbit.cc,1,0,1,15,0
7ways.pro,1,0,1,76,0
marlinhour.com,1,1,0,16,0
profminer.biz,1,0,1,1,0
mecktron.com,1,0,1,52,0
bitaqua.io,1,0,1,19,0
royal-tech.io,0,0,1,13,0
as-brokerage.com,1,1,1,29,0
maconsai.com,0,0,1,17,0
delton.ltd,1,0,1,14,0
hyipagency.com,1,0,1,301,0
alienprofits.com,1,0,0,0,0
usabuildersltd.com,1,0,1,2,0
robotscorp.biz,1,0,1,576,0
goldtrade.biz,1,0,1,4,0
bitaims.com,0,0,1,15,0
tecnon.ltd,1,0,1,30,0
moonscoin.com,1,1,1,52,0
landhour.biz,0,0,0,13,0
CryptoWave.cc,1,0,1,17,0
coinpro.biz,1,0,1,47,0
cryptocapital24.com,1,0,1,3,0
trontiply.com,0,0,1,27,0
777investments.com,1,0,1,104,0
officeinvest.biz,1,0,0,59,0
cryptonesia.trade,1,1,1,17,0
loandeals.top,1,0,1,86,0
fortuneholdings.limited,1,0,1,177,0
cashhour.org,1,0,1,8,0
fincoral.cc,1,0,1,97,0
bit-rocket.com,1,0,1,4,0
bitmatex.io,1,0,1,124,0
DefiBot.biz,0,0,0,460,1
neurotrade.io,1,1,1,11,0
flyforex.net,1,0,1,15,0
cryptogon.io,1,0,1,9,0
neavar.com,0,0,1,6,0
octobit.top,1,0,1,7,0
bitsamo.net,1,1,1,13,0
goldeneaglefunds.com,1,0,1,65,0
growmycapital.net,0,0,1,5,0
dailyzzz.com,1,1,1,85,0
bit-tron.io,1,0,1,2,0
icar.digital,0,0,1,70,0
cash-parency.com,0,0,1,85,0
commpower.biz,1,0,1,40,0
loan-trades.com,1,0,1,3,0
finnex.io,1,0,1,70,0
orangetrade.biz,1,0,1,10,0
picus.biz,1,1,1,28,0
cryptonash.net,0,0,0,18,0
moneyxplose.com,0,0,1,342,0
profitbits.biz,1,1,0,512,0
raller.biz,1,0,1,0,0
diigi.ltd,1,0,1,0,0
qorepay.biz,0,0,1,9,0
cryptoarbitrage.expert,1,1,1,22,0
hetach.ltd,1,0,0,48,0
intergreenenergy.com,0,0,1,30,0
capitist.biz,1,1,1,30,0
DogePower.biz,0,0,1,11,0
fabzaa.com,1,0,1,9,0
genessis.net,1,0,1,10,0
bjt-Investments.com,1,0,1,72,0
successfulhour.biz,1,0,1,14,0
genesistrade.fund,1,0,0,6,0
stablecryptocapital.com,1,0,1,10,0
bitvio.io,1,0,1,9,0
lendarycapital.com,1,1,1,432,1
monelo.biz,1,0,1,13,0
roboton.org,1,0,1,28,0
yesss.cc,1,1,1,566,1
72hourinstant.com,1,1,1,72,0
hodium.com,1,0,1,114,0
allbit.trade,0,0,1,138,0
tixentrade.com,1,0,1,86,0
Evercont.com,1,1,1,176,0
cdex.biz,1,0,1,91,1
exway.pro,1,0,1,1,0
minerift.biz,1,0,1,28,0
bithour.net,0,0,1,26,0
Bitneo.top,1,0,1,405,1
miners.gold,1,1,1,111,0
hourxtra.com,1,0,0,229,0
nanotezer.com,1,1,1,83,0
excel-mining.io,1,0,1,31,0
coinflare.biz,0,0,1,318,0
joinhour.com,0,0,1,426,0
cryptopeople.biz,1,0,1,23,0
dynamic-capital.net,1,0,1,108,0
crypto-mining.biz,1,0,1,82,0
invexpert.biz,1,0,1,418,0
btcfuture.biz,1,1,1,109,0
cryptomusprime.com,1,0,0,553,1
steelindustrial.club,0,0,0,57,0
invest-action.com,1,1,1,472,1
Zetbull.com,0,0,1,81,0
coinoma.biz,0,0,1,816,1
toptradeltd.com,0,0,0,41,0
alysdax.com,1,0,1,50,0
cryptominers.group,0,0,1,281,0
tridex.io,1,0,1,43,0
bitexbroker.com,1,0,0,41,0
thymo.cc,1,0,1,167,0
interinvest.biz,1,0,1,35,0
automatex.org,1,0,1,33,0
cashamazing.biz,1,0,1,67,0
Neurobet.net,1,0,1,7,0
envbtc.com,1,0,1,24,0
Cryptofarm.vip,1,1,1,28,0
Macbulls.com,1,0,0,8,0
longinvest.biz,1,0,1,136,1
infinite-profit.biz,1,0,1,9,0
kirklandfelt.com,0,0,0,62,0
crypto-star.biz,0,0,1,216,0
bitekholding.com,0,0,1,42,0
neroos.com,1,1,1,22,0
coinsforce.biz,1,0,0,94,0
pipbrokers.com,0,0,1,14,0
Rxava.com,1,0,1,43,0
bitoceans.io,0,0,1,12,0
kingofprofitmaker.com,1,0,0,20,0
superhour.biz,0,0,1,54,0
attonbank.com,1,1,1,15,0
thebillionaire.io,0,0,1,35,0
toptose.com,0,0,0,355,0
minotaur-markets.com,1,0,1,1,0
forexfly.net,1,1,1,24,0
cryptonode.ltd,0,0,1,26,0
mastery-finance.com,0,0,1,19,0
mininginvestgroup.com,1,0,1,52,0
axtrader.com,1,0,1,124,0
StarsMining.net,1,0,0,213,0
oxyma.net,1,0,1,10,0
cryptongo.cc,1,0,1,107,0
altirinvestments.com,1,0,1,182,1
vivat.vc,1,0,0,72,0
levelens.com,0,0,1,132,0
Crypto-capital.biz,1,0,1,52,0
kt-global.net,1,0,1,20,0
wqinvestment.com,1,0,1,29,0
minero.io,1,1,1,213,1
biselo.top,0,1,1,27,0
pantera.ai,1,1,1,94,0
Bitstil.com,1,0,1,413,0
yerbalife.net,1,1,1,392,0
Oceanix.cc,1,0,1,12,0
forexomo.com,1,1,0,38,0
hourpayinstant.biz,1,0,1,12,0
bitoise.com,0,0,1,167,0
Veloxy.Top,1,0,1,3,0
spiritelectro.com,1,0,1,66,0
mycryptoprofits.io,1,1,1,143,0
infernotrades.com,1,0,1,7,0
goldenbitltd.com,1,0,1,2,0
Pluribusunum.cc,0,0,1,39,0
mininghouse.trade,0,0,1,281,0
cryptoroad.biz,1,0,1,129,0
pecodex.com,1,0,1,40,0
shopextrades.com,1,0,1,10,0
scalperion.com,1,0,0,4,0
bitsei.com,0,0,0,11,0
chargena.biz,0,0,1,34,0
maxsima.cc,1,0,1,89,0
diversity-investments.com,1,0,1,300,0
se7en.systems,0,0,1,309,0
brimor.io,1,1,1,4,0
mix-jewelry.biz,1,0,1,11,0
optimexfinance.com,1,0,0,218,1
nexuz.biz,1,1,1,13,0
hoffman-graham.com,0,0,1,196,0
HOURRICH.COM,1,0,1,494,0
WexCapital.net,1,0,1,10,0
globe-profit.com,1,0,0,33,0
Topbit.biz,1,1,1,30,0
wego-trade.com,1,0,1,4,0
coinnal.com,1,0,0,79,0
imm.finance,0,0,1,119,0
atlantican.capital,1,0,1,7,0
earnpm.com,1,0,1,17,0
virodum.com,1,0,1,10,0
veon-finance.com,0,1,1,41,0
