Telegram,Facebook,Twitter,Instagram,Youtube,Social Media Platforms,Goldcoders license check,Payment Processors,Contact Number,Lifetime In Days,Censored,HYIP Name,Perfect Money,Payeer,Bitcoin,Ethereum,Litecoin,UK-Address
1,0,0,0,0,1,0,4,1,85,0,aldocentral.com,1,0,1,1,1,0
0,0,0,0,0,0,0,4,1,450,0,safetydepositary.net,1,1,1,0,0,0
0,0,0,0,0,0,1,1,0,337,0,bestfromthebets.com,1,0,0,0,0,0
0,0,0,0,0,0,1,6,0,533,0,unchartedwealth.com,1,0,1,1,1,0
0,0,0,0,0,0,1,6,0,562,1,solidtradebank.com,1,1,0,0,0,0
0,0,0,0,0,0,1,1,0,565,1,crypto7.com,1,0,0,0,0,0
0,0,0,0,0,0,0,6,0,601,1,oneadpack.com,1,1,1,1,1,0
1,0,1,1,1,4,0,9,0,565,1,starterico.com,1,1,1,1,1,0
1,0,0,0,0,1,0,3,0,100,0,speedbit.io,0,0,1,1,1,0
0,0,0,0,0,0,0,9,0,33,0,usdgains.biz,1,1,1,1,1,1
1,0,0,0,0,1,1,8,1,323,0,maxcrest.ltd,1,1,1,1,1,0
0,0,0,0,0,0,0,1,0,134,0,hyipmilker.com,0,0,1,0,0,0
1,0,0,0,0,1,0,8,0,20,0,crustabot.com,1,1,1,1,1,1
0,0,0,0,0,0,1,1,0,13,0,430.digital,1,0,0,0,0,0
0,0,0,0,1,1,1,4,1,149,0,hourinv.net,1,1,1,0,0,1
0,0,0,0,0,0,0,1,0,231,0,exo.limited,1,0,0,0,0,0
0,0,0,0,0,0,0,6,0,183,0,hourxo.biz,1,1,0,1,1,1
0,0,0,0,0,0,0,7,0,486,1,venture-avenue.com,0,0,1,1,1,0
0,0,0,0,0,0,1,2,0,23,0,citybuildtrade.com,1,1,0,0,0,0
0,1,0,1,1,3,0,4,0,233,0,aigain.com,0,0,1,1,1,0
0,0,0,0,0,0,1,1,0,23,0,dollarbill.biz,1,0,0,0,0,0
0,0,0,0,0,0,0,11,0,1002,1,essomillanni.com,1,1,1,1,1,0
0,0,0,0,0,0,1,3,0,682,1,fxglonet.com,1,1,1,0,0,0
1,1,0,0,0,2,1,6,1,186,1,bitxeon.io,1,0,1,1,1,1
1,0,0,0,0,1,1,4,0,235,1,profitday.biz,1,0,0,1,1,1
1,1,0,0,0,2,1,6,0,316,0,angelicage.com,1,1,1,1,1,1
1,1,0,0,0,2,0,6,1,28,0,citybuildprofit.com,1,0,1,1,1,1
1,0,0,0,0,1,0,5,1,5,0,ltd7.io,1,1,1,0,0,0
0,0,0,0,0,0,1,8,0,39,0,botminions.io,1,0,1,1,1,1
1,0,0,0,0,1,1,5,0,25,0,robofex.com,1,1,1,1,1,1
0,0,0,0,0,0,1,7,0,135,0,invest-chain.network,1,0,1,1,1,1
0,0,0,0,0,0,1,7,0,2,0,m7finance.com,1,1,1,1,1,1
0,0,0,0,0,0,1,1,0,11,0,coinhorizon.cc,1,0,1,0,0,0
1,0,0,0,0,1,1,5,0,7,0,traders-point.world,1,0,0,1,1,1
1,0,0,0,0,1,1,13,0,38,0,persono.biz,1,1,1,1,1,1
0,1,1,0,1,3,0,5,0,45,0,ois.capital,1,0,1,1,1,0
1,0,0,0,0,1,0,8,1,13,0,china-foryou.com,1,1,1,1,1,1
1,1,1,0,1,4,0,2,0,6,0,qubittech.ai,0,0,1,0,0,0
0,1,0,0,0,1,1,5,1,371,0,bit-atm.net,1,1,1,1,1,1
0,0,0,0,0,0,1,4,0,46,0,btcmagiclimited.com,1,1,1,1,0,1
1,0,1,0,0,2,0,4,0,262,0,marxcapital.org,1,1,1,1,0,1
1,1,0,0,0,2,1,6,0,52,0,mightyfarm.ltd,1,1,1,1,1,1
1,0,1,0,1,3,0,5,1,16,0,colombix.com,0,0,1,1,1,0
1,1,1,0,1,4,0,8,1,213,0,deeptradebot.com,1,1,1,1,1,1
1,0,0,0,0,1,1,5,0,193,0,dividendmarket.biz,1,1,1,1,1,1
0,0,0,0,0,0,1,5,0,340,0,alphacrypto.biz,1,0,1,1,1,1
1,0,1,0,0,2,0,7,1,241,0,postul-trade.com,1,1,1,1,1,0
1,1,0,0,1,3,1,7,0,22,0,cloudbtc.io,1,1,1,1,1,1
0,0,0,0,0,0,1,5,0,6,0,forexvs.com,1,0,1,1,1,0
1,0,0,0,0,1,1,7,0,147,0,chipinvestment.com,1,1,1,1,1,1
0,0,0,0,0,0,1,6,0,21,0,betahours.com,1,1,1,1,1,1
0,0,0,0,0,0,0,4,0,3,0,diversified.holdings,1,0,1,1,0,0
1,1,0,1,0,3,1,4,0,6,0,block-bank.io,1,0,1,1,1,1
1,0,0,0,0,1,1,3,0,24,0,4fxbot.com,1,0,1,1,0,1
0,0,0,0,0,0,1,4,0,0,0,curvestcapital.com,1,0,1,1,1,1
1,0,0,0,0,1,1,6,1,37,0,coronainvest.io,1,1,1,0,1,1
0,0,0,0,0,0,1,5,0,26,0,rongus-capital.com,1,1,1,1,1,1
1,0,0,0,1,2,1,5,1,15,0,razorbits.net,1,0,1,1,0,1
1,0,0,0,0,1,1,6,1,10,0,seven-core.io,1,0,1,1,1,1
1,0,0,0,1,2,1,6,0,41,0,trexai.org,1,1,1,1,1,1
0,1,0,0,0,1,1,7,0,16,0,bitliner.biz,1,1,1,1,1,1
0,0,0,0,0,0,1,2,0,0,0,ziktrade.com,1,0,1,0,0,1
1,1,0,1,0,3,1,4,0,23,0,nitro-x.io,1,1,1,0,1,1
1,0,0,1,0,2,0,5,0,39,0,coinizie.com,1,0,1,1,1,1
1,0,1,1,1,4,0,7,0,13,0,brucksbanker.com,1,1,1,1,1,0
0,0,0,0,0,0,1,2,0,62,0,ibrain.finance,1,0,0,0,0,0
0,0,0,0,0,0,1,2,0,80,0,profitday.vip,1,0,1,0,0,1
1,0,0,0,0,1,1,6,1,17,0,alliancebenefit.limited,1,0,1,1,1,1
1,1,0,0,0,2,0,5,0,54,0,vevoledger.com,1,1,1,1,1,1
0,1,1,0,0,2,0,4,0,4,0,finacrypto.com,1,0,1,1,1,0
0,0,0,0,0,0,1,5,0,13,0,aleiox.com,1,0,1,1,1,0
1,0,0,0,0,1,1,6,0,68,0,salcake-spirit.com,1,0,1,1,1,1
0,0,0,0,0,0,0,9,0,122,0,perspectplus.com,1,1,1,1,1,1
1,0,0,0,0,1,1,5,0,119,0,sigzoo.com,1,0,1,1,1,1
0,0,0,0,0,0,1,1,0,4,0,morantrust.com,1,0,0,0,0,0
0,1,0,1,1,3,0,5,0,163,0,worintion.com,1,1,1,1,1,1
0,0,0,0,0,0,1,1,0,13,0,dantex.cc,1,0,0,0,0,0
0,0,0,0,0,0,0,2,1,91,0,ecos-energy.net,1,1,0,0,0,1
0,0,0,0,0,0,1,1,0,247,0,greatcoin.ltd,1,0,0,0,0,0
1,0,0,0,0,1,1,8,1,59,0,naisos.io,1,1,1,1,1,1
1,0,0,0,0,1,1,6,0,49,0,bit-paradise.biz,1,0,1,1,1,1
0,0,0,0,0,0,1,7,0,27,0,bitbomb.biz,1,0,1,1,1,1
0,0,0,0,0,0,1,6,0,41,0,brokeron.biz,1,0,1,1,1,1
0,0,0,0,0,0,0,9,0,2,0,lintex.pro,1,0,1,1,1,1
1,0,0,0,0,1,1,7,0,3,0,bresco.ltd,1,1,1,1,1,1
0,0,0,0,0,0,1,1,0,1,0,bitmaxcrypto.com,1,0,0,0,0,1
0,1,0,0,1,2,1,1,0,3,0,quantum-tech.io,0,0,1,0,0,0
1,0,0,0,0,1,0,6,0,26,0,trandex.biz,1,1,1,1,1,1
1,0,1,0,0,2,0,2,1,19,0,osenels.com,1,0,1,0,0,1
1,0,0,0,0,1,1,3,0,301,0,vaysor.com,1,1,1,0,0,1
1,0,0,0,0,1,0,5,1,7,0,forex-x.ltd,1,0,1,1,1,1
0,0,0,0,0,0,1,7,0,0,0,ambobit.com,1,0,1,1,1,1
1,0,0,0,0,1,0,12,0,11,0,gemnaria.cc,1,1,1,1,1,1
1,0,0,0,0,1,1,2,0,17,0,maxtradar.com,1,0,1,0,0,1
0,0,0,0,0,0,1,7,1,16,0,synergytrade.cc,1,1,1,1,1,0
0,0,0,0,0,0,1,6,0,11,0,starloans.pro,1,1,1,1,1,1
0,0,0,0,0,0,1,8,0,10,0,diquo.biz,1,1,1,1,1,1
0,0,0,0,0,0,1,8,0,235,0,bitex.biz,1,1,1,1,1,0
0,0,0,0,0,0,1,8,0,12,0,btchorizon.biz,1,1,1,1,1,0
0,0,0,0,0,0,1,7,0,21,0,freebitcoin.cloud,1,1,1,1,1,0
0,1,0,0,0,1,1,3,0,7,0,velzaa.com,1,1,1,0,0,1
0,0,0,0,0,0,1,1,0,8,0,lamortech.com,1,0,0,0,0,0
1,0,0,0,0,1,0,8,0,15,0,rbbit.cc,1,1,1,1,1,1
0,0,0,0,0,0,1,11,0,76,0,7ways.pro,1,1,1,1,1,1
0,0,0,0,0,0,1,7,0,13,0,cryptiys.com,1,0,1,1,1,0
0,0,0,0,0,0,1,8,0,16,0,marlinhour.com,1,1,1,1,1,1
1,0,0,0,0,1,1,3,0,36,0,bit-stone.biz,1,1,1,0,0,0
1,0,0,0,0,1,1,9,0,1,0,profminer.biz,1,0,1,1,1,1
0,0,0,0,0,0,1,6,0,27,0,letsluck.biz,1,0,1,1,1,0
0,0,0,0,0,0,1,4,0,52,0,mecktron.com,1,1,1,1,0,1
1,0,0,0,0,1,0,5,0,19,0,bitaqua.io,1,0,1,1,1,1
1,1,1,0,0,3,1,6,0,13,0,royal-tech.io,1,1,1,1,1,1
1,0,1,0,0,2,1,6,0,29,0,as-brokerage.com,1,0,1,1,1,1
0,1,1,0,0,2,0,8,0,16,0,ibanwallets.com,0,0,1,1,1,0
1,1,1,1,0,4,0,7,0,29,0,bluemagic.cloud,1,1,1,1,1,0
1,0,0,0,0,1,1,2,1,17,0,maconsai.com,1,0,1,0,0,1
1,0,0,0,0,1,1,4,0,14,0,delton.ltd,1,0,1,1,1,1
0,0,0,0,0,0,1,6,0,301,0,hyipagency.com,1,1,1,1,1,1
0,0,0,0,0,0,1,7,0,0,0,alienprofits.com,1,0,1,1,1,1
1,1,1,0,0,3,1,7,0,19,0,pharaonh.com,1,1,1,1,1,0
0,0,0,0,0,0,1,8,0,7,0,btcmillionaire.io,1,1,1,1,1,0
1,1,0,0,0,2,0,7,1,2,0,usabuildersltd.com,1,1,1,1,1,1
0,0,0,0,0,0,1,8,0,576,0,robotscorp.biz,1,1,1,1,1,1
0,0,0,0,0,0,1,5,0,4,0,goldtrade.biz,1,1,1,1,1,1
0,0,0,0,0,0,1,8,0,15,0,bitaims.com,1,1,1,1,1,1
0,0,0,0,0,0,1,6,0,30,0,tecnon.ltd,1,0,1,1,1,1
1,0,0,0,0,1,1,4,0,52,0,moonscoin.com,1,0,1,1,1,1
0,0,0,0,0,0,1,7,1,13,0,landhour.biz,1,0,1,1,1,1
0,0,0,0,0,0,1,7,0,17,0,CryptoWave.cc,1,0,1,1,1,1
0,0,0,0,0,0,1,9,0,47,0,coinpro.biz,1,0,1,1,1,1
1,0,0,0,0,1,1,5,0,3,0,cryptocapital24.com,1,0,1,1,1,1
1,1,0,0,1,3,0,1,0,27,0,trontiply.com,0,0,0,0,0,1
0,0,0,0,0,0,1,7,0,10,0,techlink.cc,1,0,1,1,1,0
1,0,0,0,0,1,1,4,0,104,0,777investments.com,1,0,1,0,1,1
1,0,0,0,0,1,0,3,0,59,0,officeinvest.biz,0,0,1,1,1,1
1,0,0,0,0,1,1,5,0,17,0,cryptonesia.trade,1,0,1,1,1,1
1,0,0,0,0,1,1,8,0,86,0,loandeals.top,1,0,1,1,1,1
1,1,1,0,0,3,1,7,0,33,0,bitpayments.io,1,0,1,1,1,0
1,0,1,0,0,2,1,6,0,177,0,fortuneholdings.limited,1,0,1,1,1,1
1,0,0,0,0,1,0,1,0,171,1,Leonk.ltd,0,1,0,0,0,0
1,0,0,0,0,1,1,4,0,8,0,cashhour.org,1,0,1,1,1,1
0,0,0,0,0,0,1,1,0,97,0,fincoral.cc,1,0,0,0,0,1
0,0,0,0,0,0,1,1,0,150,1,okenergy.biz,1,0,0,0,0,0
1,0,0,0,0,1,1,6,1,4,0,bit-rocket.com,1,0,1,1,1,1
1,0,0,0,1,2,1,5,0,124,0,bitmatex.io,1,0,1,1,1,1
0,0,0,0,0,0,1,9,1,460,1,DefiBot.biz,1,0,1,1,1,1
1,1,1,0,1,4,1,7,0,11,0,neurotrade.io,1,0,1,1,1,1
0,0,0,0,0,0,1,8,0,20,0,CryptoMatix.co,1,1,1,1,1,0
1,0,0,0,0,1,1,5,0,15,0,flyforex.net,1,0,1,1,1,1
1,1,0,0,0,2,1,6,0,9,0,cryptogon.io,1,0,1,1,1,1
1,0,0,0,0,1,0,12,0,6,0,neavar.com,1,0,1,1,1,1
0,0,0,0,0,0,1,5,0,7,0,octobit.top,1,0,1,1,1,1
0,0,0,0,0,0,1,7,0,13,0,bitsamo.net,1,0,1,1,1,1
0,0,0,0,0,0,1,4,0,65,0,goldeneaglefunds.com,1,0,1,1,1,1
0,0,0,0,0,0,0,7,0,8,0,dollarbit.net,1,0,1,1,1,0
0,0,0,0,0,0,1,7,0,13,0,HourlyCryp.to,1,0,1,1,1,0
0,0,0,0,0,0,1,8,0,3,0,Hodly.cc,1,1,1,1,1,0
0,0,0,0,0,0,1,10,0,2,0,BitCap.cc,1,1,1,1,1,0
0,0,0,0,0,0,0,9,0,4,0,8bit.ltd,1,0,1,1,1,0
0,0,0,0,0,0,1,4,0,8,0,Macbulls.com,1,0,1,1,0,1
0,0,0,0,0,0,1,6,0,5,0,growmycapital.net,1,0,1,1,1,1
0,0,0,0,0,0,1,1,0,85,0,dailyzzz.com,1,0,0,0,0,1
1,0,0,0,0,1,1,6,0,2,0,bit-tron.io,1,0,1,1,1,1
0,0,0,0,0,0,1,4,0,70,0,icar.digital,0,0,1,1,1,1
1,0,0,0,0,1,1,6,0,85,0,cash-parency.com,1,1,1,1,1,1
0,0,0,0,0,0,1,2,0,4,0,absolutefx.net,1,0,1,0,0,0
1,0,0,0,0,1,1,6,0,40,0,commpower.biz,1,1,1,1,1,1
0,0,0,0,0,0,1,2,0,3,0,loan-trades.com,1,0,1,0,0,1
0,0,0,0,0,0,0,7,0,4,0,arbitradex.com,0,0,1,1,1,0
0,0,1,0,0,1,0,12,0,70,0,finnex.io,1,0,1,1,1,1
0,1,0,0,0,1,1,4,0,10,0,orangetrade.biz,1,0,1,1,1,1
1,1,0,1,1,4,1,9,0,28,0,picus.biz,1,1,1,1,1,1
0,0,0,0,0,0,1,3,0,30,0,btctouch.io,1,0,1,1,0,0
1,0,0,0,0,1,1,6,0,18,0,cryptonash.net,1,1,1,1,0,1
1,0,0,1,0,2,1,7,0,342,0,moneyxplose.com,1,0,1,1,1,1
1,0,0,0,0,1,1,7,1,512,0,profitbits.biz,1,0,1,1,1,1
0,0,0,0,0,0,1,6,0,5,0,wealthbis.cc,1,0,1,1,1,0
1,0,0,0,0,1,1,7,0,52,0,texium.io,1,1,1,1,1,0
1,0,0,0,0,1,1,8,1,0,0,raller.biz,1,1,1,1,1,1
0,0,0,0,0,0,0,7,0,0,0,diigi.ltd,1,1,1,0,1,1
0,0,0,0,0,0,1,7,0,9,0,qorepay.biz,1,0,1,1,1,1
1,1,0,0,0,2,1,5,0,22,0,cryptoarbitrage.expert,1,1,1,1,1,1
1,0,0,0,0,1,1,7,0,48,0,hetach.ltd,1,0,1,1,1,1
0,0,0,0,0,0,1,1,0,15,0,magneto.finance,1,0,0,0,0,0
0,1,1,0,0,2,0,6,0,30,0,intergreenenergy.com,1,0,1,1,1,1
0,0,0,0,0,0,1,2,0,3,0,popolam.cash,1,0,1,0,0,0
1,1,1,1,1,5,1,8,0,30,0,capitist.biz,1,1,1,1,1,1
1,0,0,0,0,1,1,4,0,18,0,surgecap.io,1,0,1,1,1,0
1,0,0,0,0,1,0,3,0,11,0,DogePower.biz,0,0,1,0,1,1
1,1,1,1,1,5,1,8,0,22,0,andros.casino,1,1,1,1,1,0
1,0,0,0,0,1,1,5,0,9,0,fabzaa.com,1,0,1,1,1,1
1,0,0,0,1,2,0,5,0,20,0,alton-group.com,1,1,1,1,1,0
1,1,0,1,0,3,1,6,0,10,0,pangmancapital.com,1,0,1,1,1,0
1,0,0,0,0,1,0,9,0,10,0,genessis.net,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,8,0,iverel.site,0,1,0,0,0,0
1,0,0,0,0,1,0,7,0,72,0,bjt-Investments.com,1,0,1,1,1,1
1,1,0,0,0,2,1,6,1,14,0,successfulhour.biz,1,1,1,1,1,1
1,0,0,0,0,1,0,8,0,7,0,stoqman.com,0,0,1,1,1,0
0,0,1,0,0,1,0,9,1,6,0,genesistrade.fund,1,1,1,1,1,1
0,0,0,0,0,0,1,5,1,10,0,stablecryptocapital.com,1,0,1,1,1,1
0,0,0,0,0,0,1,8,0,78,0,ProfitSpot.cc,1,1,1,1,1,0
0,0,0,0,0,0,1,4,0,148,0,w0x.cc,1,0,1,1,1,0
1,0,0,0,0,1,1,7,0,48,0,cryptominal.cc,1,1,1,1,1,0
1,0,0,0,0,1,1,4,0,9,0,bitvio.io,1,1,1,1,0,1
0,0,0,0,0,0,1,6,0,432,1,lendarycapital.com,1,1,1,1,1,1
1,0,0,0,0,1,0,5,0,13,0,monelo.biz,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,21,0,mentors4profit.com,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,22,0,paraiba.world,0,0,1,0,0,0
1,0,1,1,0,3,0,5,0,19,0,bottrade.cc,1,1,1,0,1,0
1,1,1,1,1,5,0,5,0,28,0,roboton.org,1,1,1,1,1,1
1,0,0,0,1,2,1,1,1,566,1,yesss.cc,1,0,0,0,0,1
0,0,0,0,0,0,1,7,1,72,0,72hourinstant.com,1,1,1,1,1,1
1,1,1,0,1,4,1,5,0,114,0,hodium.com,0,0,1,1,1,1
1,0,0,0,1,2,0,7,1,138,0,allbit.trade,1,1,1,1,1,1
0,0,0,0,0,0,0,6,0,86,0,tixentrade.com,1,0,1,1,1,1
0,0,0,0,1,1,0,7,0,93,0,vixes.biz,1,1,1,1,1,0
1,0,0,0,0,1,0,7,0,176,0,Evercont.com,1,0,1,1,1,1
1,0,0,0,0,1,1,3,0,91,1,cdex.biz,1,1,1,0,0,1
0,0,0,0,0,0,0,2,0,280,0,elitebitpay.biz,1,0,1,0,0,0
0,1,1,0,0,2,1,2,1,1,0,exway.pro,1,1,0,0,0,1
0,0,0,0,0,0,0,2,0,115,0,pf-7.com,1,1,0,0,0,0
0,0,0,0,0,0,0,6,0,28,0,minerift.biz,1,0,1,1,1,1
0,0,0,0,0,0,1,7,0,26,0,bithour.net,1,1,1,1,1,1
0,0,0,0,0,0,1,8,0,152,0,hourlyex.com,1,1,1,1,1,0
0,0,0,0,0,0,0,1,0,75,1,istorm.vip,1,0,0,0,0,0
0,0,0,0,0,0,0,11,0,194,0,mcoin.trade,1,1,1,1,1,0
1,1,1,0,1,4,0,5,0,19,0,Antares.Trade,1,1,1,1,1,0
0,0,0,0,0,0,0,3,0,150,0,era2bit.digital,1,1,1,0,0,0
0,0,0,0,0,0,1,7,0,405,1,Bitneo.top,1,0,1,1,1,1
0,0,1,0,0,1,0,5,0,516,1,bestlevelup.com,0,0,1,1,1,0
1,0,0,0,0,1,1,6,1,111,0,miners.gold,1,1,1,1,1,1
1,0,0,0,0,1,1,7,1,85,1,auruminvest.biz,1,1,1,1,1,0
1,1,1,0,0,3,0,2,0,184,0,deliveero.com,1,0,1,0,0,0
0,0,0,0,0,0,1,7,0,229,0,hourxtra.com,1,1,1,1,1,1
1,0,0,0,0,1,1,8,1,83,0,nanotezer.com,1,1,1,1,1,1
1,0,0,0,0,1,0,9,0,3,0,coinexa.pro,1,1,1,1,1,0
0,0,0,0,0,0,1,8,0,40,0,coinsrich.biz,1,1,1,1,1,0
1,1,0,1,1,4,0,8,0,119,0,gold8.io,1,1,1,1,1,0
0,0,1,0,1,2,0,5,0,31,0,excel-mining.io,1,0,1,1,1,1
0,0,0,0,0,0,1,8,0,16,0,brixter.biz,1,1,1,1,1,0
1,1,1,0,1,4,0,8,0,99,0,wintrex.biz,1,1,1,1,1,0
0,0,0,0,0,0,1,3,0,245,0,voperfect.com,1,1,1,0,0,0
1,0,0,0,0,1,1,6,0,24,0,Autotech.top,1,0,1,1,1,0
0,0,0,0,0,0,0,6,0,5,0,3deposit.com,1,1,1,1,1,0
0,1,1,1,1,4,0,6,0,37,0,bitcoin-bum.com,1,1,1,1,1,0
0,1,0,0,1,2,0,6,0,11,0,passiveadshare.com,1,1,1,1,1,0
1,0,0,0,0,1,1,6,1,318,0,coinflare.biz,0,0,1,1,1,1
0,0,0,0,0,0,0,7,0,426,0,joinhour.com,1,1,1,1,1,1
1,1,0,1,1,4,0,7,0,49,0,ito.superaud.com,1,0,1,1,1,0
1,1,1,1,1,5,0,6,0,84,0,stakedwallet.io,0,0,1,1,1,0
1,1,0,0,0,2,1,8,0,225,0,evonomy.io,1,1,1,1,1,0
1,0,1,0,1,3,0,6,0,54,0,p2pmode.com,1,1,1,1,1,0
1,0,1,0,1,3,0,5,0,70,0,vitrade.me,0,0,1,1,1,0
1,1,0,0,0,2,1,4,0,23,0,cryptopeople.biz,1,1,1,1,0,1
0,0,0,0,0,0,1,1,0,268,0,opixt.com,1,0,0,0,0,0
0,0,0,0,0,0,1,6,0,108,0,dynamic-capital.net,0,0,1,1,1,1
1,1,1,0,0,3,0,5,0,82,0,crypto-mining.biz,0,0,1,1,1,1
0,0,0,0,1,1,1,7,1,418,0,invexpert.biz,1,1,1,1,1,1
0,0,0,0,0,0,1,1,0,33,0,majistacapital.biz,1,0,0,0,0,0
1,1,0,0,0,2,1,3,0,109,0,btcfuture.biz,1,1,1,0,0,1
1,1,0,0,0,2,1,8,1,553,1,cryptomusprime.com,1,1,1,1,1,1
1,0,0,1,1,3,0,8,1,108,0,roboinvest.pro,1,1,1,1,1,0
1,1,0,0,1,3,0,9,1,57,0,steelindustrial.club,1,1,1,1,1,1
0,0,0,0,0,0,1,2,0,472,1,invest-action.com,1,1,0,0,0,1
1,1,1,0,0,3,1,6,0,81,0,Zetbull.com,0,0,1,1,1,1
0,0,0,0,0,0,1,9,0,176,0,mixpro.biz,1,0,1,1,1,0
1,0,0,0,0,1,0,4,0,75,0,tothemoons.io,0,0,1,1,0,0
1,0,0,0,0,1,1,7,0,816,1,coinoma.biz,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,11,0,multistartrade.co,0,0,1,0,0,0
1,0,0,0,0,1,1,3,0,41,0,toptradeltd.com,1,0,1,1,0,1
1,1,1,0,1,4,0,5,0,50,0,alysdax.com,0,0,1,0,0,1
0,0,0,0,0,0,1,7,1,281,0,cryptominers.group,1,1,1,1,1,1
1,0,1,0,0,2,0,10,0,43,0,tridex.io,1,0,1,1,1,1
1,0,0,0,0,1,0,10,0,92,0,arbirate.com,1,1,1,1,1,0
0,1,0,0,1,2,1,8,1,41,0,bitexbroker.com,1,1,1,1,1,1
1,0,0,0,0,1,1,4,0,167,0,thymo.cc,1,1,1,1,0,1
1,0,1,1,0,3,1,5,0,34,0,HeoNix.com,1,0,1,1,1,0
0,1,0,0,0,1,0,4,0,22,0,bestinvestment.io,1,1,1,0,0,0
1,0,0,0,1,2,1,6,0,33,0,automatex.org,1,1,1,1,1,1
1,0,0,0,0,1,0,4,1,35,0,interinvest.biz,1,1,1,1,0,1
0,0,0,0,0,0,1,6,0,67,0,cashamazing.biz,1,1,1,1,1,1
1,0,0,0,0,1,0,4,1,91,0,trellomarity.com,1,1,1,1,0,0
1,0,1,0,1,3,0,14,0,7,0,Neurobet.net,1,1,1,1,1,1
1,0,0,0,0,1,1,11,0,24,0,envbtc.com,1,1,1,1,1,1
1,0,0,0,0,1,1,8,0,105,0,Hivotrade.com,1,0,1,1,1,0
1,0,0,0,1,2,0,6,0,28,0,Cryptofarm.vip,1,1,1,1,0,1
1,1,0,1,1,4,1,5,1,136,1,longinvest.biz,1,1,1,1,1,1
0,0,0,0,0,0,1,8,0,31,0,makler.center,1,1,1,1,1,0
0,0,0,0,0,0,0,4,0,55,0,baza.cash,1,1,0,0,0,0
1,0,0,0,0,1,1,7,0,9,0,infinite-profit.biz,1,0,1,1,1,1
